Target_Class;p_tag_count;comma_count;colon_count;hyphen_count;TTR;Compound;Positive;Neutral;Negative;FleschK_score;CC;PRP;PRP$;IN;NNP;period_count
Detective and Mystery;2283;5669;18;850;0.15370127467796724;1.0;0.19399999999999998;0.6729999999999999;0.133;51.39837392258414;22.0;6.0;0.0;688.0;17.0;382883
Literary;268;962;54;311;0.3478319783197832;1.0;0.23199999999999998;0.6509999999999999;0.11800000000000001;41.8492099755629;8.0;2.0;0.0;137.0;4.0;104178
Literary;3510;11771;415;2664;0.11264089683901005;1.0;0.24;0.618;0.142;58.16060143836303;23.0;15.0;8.0;1473.0;23.0;821156
Western Stories;3332;5798;17;1358;0.13720681033456364;1.0;0.16399999999999998;0.7290000000000001;0.107;64.0873651953572;56.0;29.0;4.0;1011.0;23.0;506644
Literary;472;1429;39;282;0.2620908646800195;1.0;0.254;0.5870000000000001;0.159;54.611429412355726;4.0;1.0;0.0;237.0;1.0;98120
Literary;252;2490;79;502;0.30656934306569344;1.0;0.268;0.636;0.096;45.375108365028865;14.0;2.0;1.0;375.0;6.0;157261
Detective and Mystery;1252;3090;57;742;0.1944090812645873;1.0;0.17300000000000001;0.715;0.11199999999999999;41.254974289791186;11.0;2.0;0.0;400.0;7.0;236954
Literary;2608;4919;52;455;0.1626729758727888;1.0;0.196;0.7290000000000001;0.075;62.39185660046914;13.0;10.0;2.0;912.0;31.0;409180
Literary;2415;4056;51;517;0.16245093763628435;1.0;0.18899999999999997;0.722;0.08900000000000001;58.11183448117661;15.0;7.0;1.0;899.0;20.0;368020
Literary;2950;3991;11;1168;0.13794122475783946;1.0;0.249;0.614;0.13699999999999998;64.26502922406596;10.0;12.0;1.0;628.0;18.0;384798
Literary;1079;8188;152;666;0.14194959932517925;1.0;0.19;0.674;0.13699999999999998;49.74550746880378;48.0;7.0;0.0;1065.0;35.0;449675
Literary;3302;5914;17;2081;0.13569956081383885;1.0;0.239;0.612;0.149;59.315632324395544;34.0;6.0;1.0;1218.0;19.0;569210
Literary;1806;5577;192;1440;0.13759221187568024;1.0;0.233;0.632;0.135;51.7428706419029;17.0;5.0;1.0;532.0;15.0;408094
Literary;1935;7374;190;2981;0.1463776493256262;1.0;0.22899999999999998;0.6559999999999999;0.114;50.17566875438465;25.0;11.0;1.0;1406.0;32.0;648143
Literary;1353;6509;154;1118;0.19258944184507776;1.0;0.23600000000000002;0.631;0.133;39.67044801332483;19.0;9.0;3.0;1239.0;12.0;516228
Ghost and Horror;124;1260;27;310;0.3874407582938389;1.0;0.213;0.6679999999999999;0.11900000000000001;42.794786214409726;3.0;1.0;0.0;131.0;2.0;82930
Literary;320;1337;67;260;0.3227248536455561;1.0;0.244;0.628;0.128;35.622910930466325;7.0;3.0;0.0;151.0;2.0;134164
Literary;123;422;15;54;0.4167280766396463;0.9999;0.187;0.7659999999999999;0.047;47.97529062467385;1.0;2.0;1.0;53.0;2.0;31377
Literary;2399;6821;80;2820;0.12118172242564075;1.0;0.304;0.556;0.14;56.149549604975135;28.0;6.0;3.0;803.0;7.0;500518
Literary;2414;6007;52;887;0.15952101573547553;1.0;0.21100000000000002;0.674;0.115;70.57322681007199;26.0;21.0;9.0;775.0;32.0;386088
Detective and Mystery;2947;13926;145;4447;0.10565708391737856;1.0;0.146;0.721;0.133;55.81047204471011;51.0;12.0;4.0;2203.0;35.0;898175
Literary;608;1819;6;523;0.27560538961650805;-0.9562;0.146;0.705;0.15;63.1677145919596;7.0;10.0;0.0;263.0;25.0;131662
Literary;3453;13784;65;1568;0.11103267446551028;1.0;0.242;0.653;0.106;54.162165645362364;73.0;18.0;12.0;1277.0;28.0;881077
Literary;2180;7976;137;2544;0.18024776143057133;1.0;0.24100000000000002;0.621;0.138;52.55427490403088;47.0;9.0;0.0;1016.0;12.0;479083
Literary;3290;6188;18;1791;0.1261504924915227;1.0;0.21600000000000003;0.634;0.15;57.82281025912755;31.0;7.0;1.0;1498.0;19.0;627644
Literary;2269;8217;200;1668;0.12986956236754135;1.0;0.245;0.622;0.133;51.111016619403536;25.0;9.0;2.0;1006.0;65.0;580467
Literary;2686;16775;120;3016;0.1514397191883312;1.0;0.24;0.627;0.133;39.344659488375136;51.0;20.0;3.0;1703.0;22.0;888077
Literary;2817;8972;161;1031;0.1480109769973896;1.0;0.248;0.602;0.15;56.2311161672842;30.0;6.0;0.0;999.0;31.0;547469
Literary;2398;14478;56;5179;0.1520382589125876;1.0;0.239;0.625;0.136;27.815036968301285;94.0;31.0;9.0;2054.0;15.0;958322
Literary;213;951;31;158;0.4247572815533981;0.9991;0.132;0.757;0.111;48.46149900086797;7.0;;0.0;138.0;7.0;69079
Literary;1767;6987;30;769;0.15700441539079074;1.0;0.2;0.637;0.163;53.0200932261096;27.0;12.0;4.0;943.0;10.0;414546
Literary;310;1044;10;156;0.3595635642254918;1.0;0.259;0.584;0.157;42.3575528848437;6.0;;0.0;112.0;23.0;82349
Literary;2281;6361;257;1077;0.15124725557060775;1.0;0.17600000000000002;0.696;0.128;36.034845637581675;55.0;54.0;3.0;2885.0;41.0;1035954
Literary;709;1833;20;161;0.25152439024390244;1.0;0.27899999999999997;0.58;0.141;52.010773686679194;3.0;1.0;1.0;193.0;4.0;127082
Literary;2495;4785;59;1551;0.13974181314273212;1.0;0.23399999999999999;0.6409999999999999;0.126;71.57774918833627;22.0;14.0;5.0;774.0;7.0;363117
Literary;1112;4004;6;1072;0.16012569832402235;1.0;0.191;0.6679999999999999;0.141;59.490246617030785;25.0;12.0;1.0;654.0;15.0;356260
Literary;929;2291;59;645;0.24569219681582916;1.0;0.19699999999999998;0.6940000000000001;0.109;60.24962700403539;12.0;3.0;0.0;316.0;11.0;183814
Literary;1388;3689;34;543;0.212669498447966;1.0;0.17600000000000002;0.7140000000000001;0.11;40.423138399977496;8.0;7.0;0.0;645.0;9.0;319726
Literary;868;1981;20;261;0.21644017235664567;1.0;0.307;0.583;0.11;57.77055318705711;8.0;4.0;2.0;258.0;5.0;145540
Literary;1693;3422;117;647;0.19309706885587094;1.0;0.177;0.685;0.138;44.57442843014107;44.0;8.0;0.0;779.0;11.0;428775
Literary;2094;5915;36;2088;0.16262873957822466;1.0;0.21899999999999997;0.6659999999999999;0.115;50.64867656371112;33.0;7.0;1.0;1200.0;8.0;533458
Literary;3292;8481;39;1076;0.12512094291494413;1.0;0.222;0.632;0.147;56.99762174796346;28.0;5.0;2.0;1130.0;24.0;575847
Literary;1000;3995;29;1847;0.21919899776846885;1.0;0.21600000000000003;0.6409999999999999;0.14300000000000002;46.43923426253443;19.0;7.0;1.0;502.0;8.0;312815
Literary;2221;5816;11;334;0.13079149297719248;1.0;0.231;0.64;0.13;50.15623237604177;23.0;11.0;2.0;913.0;39.0;457818
Literary;488;3502;31;625;0.2224598398567663;1.0;0.273;0.62;0.107;40.289281192739956;18.0;4.0;1.0;536.0;19.0;257081
Literary;3209;12246;236;2415;0.11842069323427384;1.0;0.20199999999999999;0.6659999999999999;0.132;50.614037286277956;63.0;21.0;12.0;2205.0;25.0;951149
Literary;664;4374;132;828;0.2297316444217745;1.0;0.192;0.645;0.163;22.06359121865285;33.0;1.0;2.0;861.0;15.0;425626
Literary;1302;4886;82;972;0.257998638529612;1.0;0.235;0.616;0.149;34.691516764334786;14.0;8.0;2.0;832.0;24.0;370995
