guten_genre,p_tag_count,comma_count,colon_count,hyphen_count,TTR,Positive,Neutral,Negative,FleschK_score,CC,PRP,PRP$,IN,NNP,period_count
Detective and Mystery,2283,5669,18,850,0.154,0.194,0.673,0.133,51.398,22,6,0,688,17,382883
Literary,268,962,54,311,0.348,0.232,0.651,0.118,41.849,8,2,0,137,4,104178
Literary,3510,11771,415,2664,0.113,0.240,0.618,0.142,58.161,23,15,8,1473,23,821156
Western Stories,3332,5798,17,1358,0.137,0.164,0.729,0.107,64.087,56,29,4,1011,23,506644
Literary,472,1429,39,282,0.262,0.254,0.587,0.159,54.611,4,1,0,237,1,98120
Literary,252,2490,79,502,0.307,0.268,0.636,0.096,45.375,14,2,1,375,6,157261
Detective and Mystery,1252,3090,57,742,0.194,0.173,0.715,0.112,41.255,11,2,0,400,7,236954
Literary,2608,4919,52,455,0.163,0.196,0.729,0.075,62.392,13,10,2,912,31,409180
Literary,2415,4056,51,517,0.162,0.189,0.722,0.089,58.112,15,7,1,899,20,368020
Literary,2950,3991,11,1168,0.138,0.249,0.614,0.137,64.265,10,12,1,628,18,384798
Literary,1079,8188,152,666,0.142,0.190,0.674,0.137,49.746,48,7,0,1065,35,449675
Literary,3302,5914,17,2081,0.136,0.239,0.612,0.149,59.316,34,6,1,1218,19,569210
Literary,1806,5577,192,1440,0.138,0.233,0.632,0.135,51.743,17,5,1,532,15,408094
Literary,1935,7374,190,2981,0.146,0.229,0.656,0.114,50.176,25,11,1,1406,32,648143
Literary,1353,6509,154,1118,0.193,0.236,0.631,0.133,39.670,19,9,3,1239,12,516228
Ghost and Horror,124,1260,27,310,0.387,0.213,0.668,0.119,42.795,3,1,0,131,2,82930
Literary,320,1337,67,260,0.323,0.244,0.628,0.128,35.623,7,3,0,151,2,134164
Literary,123,422,15,54,0.417,0.187,0.766,0.047,47.975,1,2,1,53,2,31377
Literary,2399,6821,80,2820,0.121,0.304,0.556,0.14,56.150,28,6,3,803,7,500518
Literary,2414,6007,52,887,0.160,0.211,0.674,0.115,70.573,26,21,9,775,32,386088
Detective and Mystery,2947,13926,145,4447,0.106,0.146,0.721,0.133,55.810,51,12,4,2203,35,898175
Literary,608,1819,6,523,0.276,0.146,0.705,0.15,63.168,7,10,0,263,25,131662
Literary,3453,13784,65,1568,0.111,0.242,0.653,0.106,54.162,73,18,12,1277,28,881077
Literary,2180,7976,137,2544,0.180,0.241,0.621,0.138,52.554,47,9,0,1016,12,479083
Literary,3290,6188,18,1791,0.126,0.216,0.634,0.15,57.823,31,7,1,1498,19,627644
Literary,2269,8217,200,1668,0.130,0.245,0.622,0.133,51.111,25,9,2,1006,65,580467
Literary,2686,16775,120,3016,0.151,0.240,0.627,0.133,39.345,51,20,3,1703,22,888077
Literary,2817,8972,161,1031,0.148,0.248,0.602,0.15,56.231,30,6,0,999,31,547469
Literary,2398,14478,56,5179,0.152,0.239,0.625,0.136,27.815,94,31,9,2054,15,958322
Literary,213,951,31,158,0.425,0.132,0.757,0.111,48.461,7,,0,138,7,69079
Literary,1767,6987,30,769,0.157,0.200,0.637,0.163,53.020,27,12,4,943,10,414546
Literary,310,1044,10,156,0.360,0.259,0.584,0.157,42.358,6,,0,112,23,82349
Literary,2281,6361,257,1077,0.151,0.176,0.696,0.128,36.035,55,54,3,2885,41,1035954
Literary,709,1833,20,161,0.252,0.279,0.580,0.141,52.011,3,1,1,193,4,127082
Literary,2495,4785,59,1551,0.140,0.234,0.641,0.126,71.578,22,14,5,774,7,363117
Literary,1112,4004,6,1072,0.160,0.191,0.668,0.141,59.490,25,12,1,654,15,356260
Literary,929,2291,59,645,0.246,0.197,0.694,0.109,60.250,12,3,0,316,11,183814
Literary,1388,3689,34,543,0.213,0.176,0.714,0.11,40.423,8,7,0,645,9,319726
Literary,868,1981,20,261,0.216,0.307,0.583,0.11,57.771,8,4,2,258,5,145540
Literary,1693,3422,117,647,0.193,0.177,0.685,0.138,44.574,44,8,0,779,11,428775
Literary,2094,5915,36,2088,0.163,0.219,0.666,0.115,50.649,33,7,1,1200,8,533458
